Cycle Index,Chg. Cap.(Ah),DChg. Cap.(Ah),Chg.-DChg. Eff(%),Chg. Energy(Wh),DChg. Energy(Wh),,
1,2.2267,2.0329,91.30,8.8663,7.1751,,
2,2.1152,2.1125,99.87,8.4734,7.4730,,
3,2.1173,2.1165,99.96,8.4803,7.4882,,
4,2.1184,2.1170,99.93,8.4835,7.4901,,
5,2.1187,2.1178,99.96,8.4840,7.4932,,
6,2.1191,2.1176,99.93,8.4844,7.4922,,
7,2.1188,2.1173,99.93,8.4828,7.4911,,
8,2.1183,2.1167,99.92,8.4806,7.4891,,
9,2.1179,2.1166,99.94,8.4784,7.4886,,
10,2.1175,2.1157,99.92,8.4765,7.4852,,
11,2.1166,2.1145,99.90,8.4729,7.4808,,
12,2.1154,2.1133,99.90,8.4684,7.4761,,
13,2.1141,2.1122,99.91,8.4634,7.4715,,
14,2.1128,2.1105,99.89,8.4584,7.4650,,
15,2.1113,2.1093,99.90,8.4525,7.4602,,
16,2.1097,2.1069,99.87,8.4463,7.4516,,
17,2.1073,2.1055,99.91,8.4376,7.4456,,
18,2.1064,2.1050,99.93,8.4341,7.4436,,
19,2.1056,2.1040,99.92,8.4309,7.4399,,
20,2.1054,2.1060,100.03,8.4299,7.4469,,
21,2.1055,2.1040,99.93,8.4295,7.4395,,
22,2.1043,2.1027,99.92,8.4246,7.4341,,
23,2.1033,2.1021,99.94,8.4209,7.4317,,
24,2.1023,2.1007,99.93,8.4167,7.4264,,
25,2.1012,2.1015,100.01,8.4125,7.4299,,
26,2.1018,2.0997,99.90,8.4142,7.4218,,
27,2.1002,2.0989,99.94,8.4080,7.4185,,
28,2.0991,2.0977,99.94,8.4037,7.4141,,
29,2.0981,2.0970,99.95,8.3996,7.4109,,
30,2.0975,2.0966,99.96,8.3972,7.4094,,
31,2.4403,2.6050,106.75,9.4504,9.8038,,
32,2.2010,2.0511,93.19,8.7563,7.2348,,
33,2.1113,2.1059,99.75,8.4451,7.4392,,
34,2.1085,2.1062,99.89,8.4350,7.4405,,
35,2.1071,2.1051,99.90,8.4295,7.4360,,
36,2.1059,2.1040,99.91,8.4251,7.4320,,
37,2.1044,2.1030,99.93,8.4195,7.4277,,
38,2.1034,2.1014,99.90,8.4154,7.4216,,
39,2.1019,2.1002,99.92,8.4100,7.4170,,
40,2.1007,2.0993,99.93,8.4053,7.4133,,
41,2.0996,2.0979,99.92,8.4015,7.4079,,
42,2.0981,2.0967,99.93,8.3958,7.4032,,
43,2.0971,2.0951,99.91,8.3921,7.3969,,
44,2.0954,2.0932,99.90,8.3858,7.3894,,
45,2.0936,2.0918,99.91,8.3795,7.3837,,
46,2.0919,2.0896,99.89,8.3733,7.3746,,
47,2.0900,2.0880,99.90,8.3667,7.3683,,
48,2.0884,2.0860,99.88,8.3610,7.3603,,
49,2.0861,2.0834,99.87,8.3526,7.3501,,
50,2.0840,2.0809,99.85,8.3451,7.3404,,
51,2.0813,2.0782,99.85,8.3356,7.3299,,
52,2.0785,2.0747,99.82,8.3257,7.3162,,
53,2.0754,2.0718,99.83,8.3147,7.3048,,
54,2.0722,2.0676,99.78,8.3036,7.2883,,
55,2.0680,2.0632,99.77,8.2890,7.2715,,
56,2.0639,2.0593,99.77,8.2748,7.2556,,
57,2.0599,2.0548,99.75,8.2610,7.2382,,
58,2.0558,2.0508,99.76,8.2468,7.2225,,
59,2.0516,2.0461,99.73,8.2326,7.2039,,
60,2.0471,2.0411,99.71,8.2168,7.1844,,
61,2.0419,2.0354,99.68,8.1988,7.1621,,
62,2.3853,2.5480,106.82,9.2542,9.5939,,
63,2.1483,1.9999,93.09,8.5779,7.0264,,
64,2.0533,2.0406,99.38,8.2419,7.1772,,
65,2.0441,2.0353,99.57,8.2089,7.1571,,
66,2.0368,2.0283,99.58,8.1833,7.1308,,
67,2.0298,2.0216,99.59,8.1586,7.1051,,
68,2.0229,2.0142,99.57,8.1343,7.0771,,
69,2.0153,2.0069,99.58,8.1072,7.0488,,
70,2.0082,1.9996,99.57,8.0823,7.0209,,
71,2.0006,1.9917,99.56,8.0554,6.9907,,
72,1.9929,1.9837,99.54,8.0283,6.9602,,
73,1.9849,1.9753,99.52,7.9995,6.9280,,
74,1.9767,1.9668,99.50,7.9704,6.8954,,
75,1.9681,1.9580,99.49,7.9396,6.8620,,
76,1.9594,1.9485,99.45,7.9084,6.8263,,
77,1.9501,1.9389,99.43,7.8749,6.7900,,
78,1.9404,1.9295,99.44,7.8405,6.7545,,
79,1.9308,1.9184,99.36,7.8055,6.7131,,
80,1.9203,1.9084,99.38,7.7676,6.6760,,
81,1.9100,1.8973,99.33,7.7301,6.6343,,
82,1.8992,1.8858,99.29,7.6910,6.5918,,
83,1.8878,1.8742,99.28,7.6494,6.5489,,
84,1.8762,1.8615,99.22,7.6067,6.5023,,
85,1.8637,1.8486,99.19,7.5608,6.4553,,
86,1.8509,1.8347,99.12,7.5138,6.4050,,
87,1.8374,1.8209,99.10,7.4637,6.3548,,
88,1.8238,1.8063,99.04,7.4133,6.3025,,
89,1.8096,1.7919,99.02,7.3603,6.2509,,
90,1.7951,1.7765,98.97,7.3062,6.1962,,
91,1.7798,1.7604,98.91,7.2492,6.1387,,
92,1.7638,1.7433,98.84,7.1892,6.0776,,
93,2.0753,2.2176,106.86,8.1288,8.3900,,
94,1.8553,1.7172,92.56,7.5412,5.9799,,
95,1.7554,1.7265,98.35,7.1585,6.0158,,
96,1.7329,1.7083,98.58,7.0726,5.9524,,
97,1.7130,1.6893,98.62,6.9971,5.8860,,
98,1.6931,1.6701,98.65,6.9215,5.8183,,
99,1.6738,1.6515,98.66,6.8484,5.7524,,
100,1.6546,1.6316,98.61,6.7749,5.6819,,
101,1.6349,1.6116,98.58,6.6994,5.6112,,
102,1.6148,1.5913,98.54,6.6226,5.5391,,
103,1.5943,1.5704,98.50,6.5436,5.4654,,
104,1.5735,1.5496,98.48,6.4633,5.3915,,
105,1.5524,1.5278,98.42,6.3818,5.3143,,
106,1.5306,1.5064,98.42,6.2972,5.2386,,
107,1.5096,1.4851,98.38,6.2156,5.1627,,
108,1.4868,1.4629,98.39,6.1265,5.0836,,
109,1.4650,1.4405,98.33,6.0411,5.0034,,
110,1.4426,1.4192,98.38,5.9533,4.9274,,
111,1.4212,1.3979,98.36,5.8687,4.8506,,
112,1.3996,1.3769,98.37,5.7838,4.7751,,
113,1.3784,1.3561,98.38,5.6997,4.7005,,
114,1.3575,1.3358,98.40,5.6168,4.6274,,
115,1.3369,1.3161,98.45,5.5347,4.5561,,
116,1.3169,1.2965,98.46,5.4547,4.4852,,
117,1.2972,1.2772,98.46,5.3760,4.4150,,
118,1.2779,1.2583,98.46,5.2988,4.3463,,
119,1.2590,1.2399,98.48,5.2230,4.2792,,
120,1.2406,1.2220,98.51,5.1488,4.2143,,
121,1.2226,1.2052,98.58,5.0763,4.1529,,
122,1.2055,1.1883,98.57,5.0072,4.0912,,
123,1.1884,1.1715,98.57,4.9383,4.0300,,
124,1.5007,1.6960,113.01,6.0047,6.4479,,
125,1.3166,1.1114,84.41,5.4703,3.8225,,
126,1.1629,1.1244,96.70,4.8363,3.8615,,
127,1.1328,1.1113,98.10,4.7131,3.8130,,
128,1.1159,1.1014,98.70,4.6439,3.7767,,
129,1.1035,1.0904,98.81,4.5932,3.7366,,
130,1.0931,1.0825,99.03,4.5507,3.7081,,
131,1.0839,1.0736,99.05,4.5132,3.6755,,
132,1.0751,1.0659,99.14,4.4770,3.6475,,
133,1.0668,1.0571,99.09,4.4429,3.6152,,
134,1.0586,1.0501,99.20,4.4095,3.5896,,
135,1.0513,1.0421,99.13,4.3798,3.5609,,
136,1.0439,1.0362,99.26,4.3493,3.5394,,
137,1.0371,1.0292,99.24,4.3218,3.5138,,
138,1.0302,1.0230,99.30,4.2935,3.4914,,
139,1.0239,1.0160,99.23,4.2674,3.4653,,
140,1.0173,1.0100,99.28,4.2406,3.4435,,
141,1.0113,1.0030,99.18,4.2157,3.4180,,
142,1.0041,0.9975,99.34,4.1861,3.3983,,
143,0.9987,0.9914,99.27,4.1640,3.3759,,
144,0.9922,0.9853,99.30,4.1374,3.3541,,
145,0.9869,0.9796,99.27,4.1155,3.3334,,
146,0.9807,0.9742,99.33,4.0901,3.3134,,
147,0.9762,0.9691,99.28,4.0716,3.2952,,
148,0.9701,0.9637,99.34,4.0464,3.2754,,
149,0.9654,0.9595,99.38,4.0274,3.2603,,
150,0.9601,0.9545,99.43,4.0052,3.2422,,
151,0.9563,0.9503,99.38,3.9897,3.2270,,
152,0.9515,0.9456,99.38,3.9697,3.2094,,
153,0.9480,0.9426,99.43,3.9555,3.1987,,
154,0.9439,0.9370,99.27,3.9385,3.1785,,
155,1.2674,1.5299,120.71,5.1198,5.8077,,
156,1.0984,0.8338,75.91,4.5853,2.8356,,
157,0.9154,0.8741,95.48,3.8232,2.9578,,
158,0.8935,0.8755,97.98,3.7318,2.9601,,
159,0.8850,0.8727,98.61,3.6961,2.9489,,
160,0.8794,0.8700,98.93,3.6728,2.9390,,
161,0.8756,0.8677,99.10,3.6570,2.9309,,
162,0.8719,0.8662,99.35,3.6419,2.9256,,
163,0.8704,0.8645,99.32,3.6356,2.9195,,
164,0.8678,0.8642,99.58,3.6249,2.9182,,
165,0.8673,0.8633,99.53,3.6229,2.9153,,
166,0.8663,0.8617,99.48,3.6184,2.9099,,
167,0.8648,0.8621,99.68,3.6125,2.9111,,
168,0.8638,0.8604,99.60,3.6083,2.9048,,
169,0.8627,0.8604,99.73,3.6037,2.9048,,
170,0.8621,0.8585,99.58,3.6012,2.8984,,
171,0.8608,0.8588,99.77,3.5955,2.8992,,
172,0.8611,0.8590,99.76,3.5969,2.8998,,
173,0.8603,0.8579,99.72,3.5936,2.8960,,
174,0.8602,0.8575,99.68,3.5933,2.8949,,
175,0.8589,0.8564,99.71,3.5878,2.8909,,
176,0.8585,0.8559,99.69,3.5862,2.8891,,
177,0.8573,0.8550,99.74,3.5809,2.8860,,
178,0.8569,0.8548,99.76,3.5794,2.8854,,
179,0.8560,0.8534,99.70,3.5755,2.8802,,
180,0.8551,0.8538,99.85,3.5720,2.8822,,
181,0.8549,0.8527,99.74,3.5711,2.8778,,
182,0.8538,0.8518,99.76,3.5663,2.8749,,
183,0.8536,0.8519,99.81,3.5654,2.8752,,
184,0.8527,0.8511,99.82,3.5617,2.8727,,
185,0.8548,0.8505,99.50,3.5705,2.8709,,
186,1.1534,1.4678,127.26,4.6782,5.5667,,
187,1.0191,0.7374,72.36,4.2583,2.4962,,
188,0.8342,0.7863,94.25,3.4874,2.6455,,
189,0.8134,0.7926,97.45,3.3999,2.6633,,
190,0.8061,0.7922,98.28,3.3694,2.6615,,
191,0.8020,0.7907,98.59,3.3524,2.6562,,
192,0.7977,0.7898,99.01,3.3345,2.6529,,
193,0.7963,0.7889,99.07,3.3285,2.6500,,
194,0.7936,0.7867,99.13,3.3174,2.6420,,
195,0.7918,0.7870,99.39,3.3100,2.6434,,
196,0.7907,0.7844,99.20,3.3054,2.6347,,
197,0.7888,0.7852,99.53,3.2976,2.6376,,
198,0.7884,0.7840,99.44,3.2957,2.6336,,
199,0.7871,0.7843,99.63,3.2904,2.6347,,
200,0.7873,0.7838,99.55,3.2910,2.6331,,
201,0.7860,0.7830,99.62,3.2856,2.6308,,
202,0.7859,0.7831,99.64,3.2853,2.6313,,
203,0.7849,0.7813,99.55,3.2809,2.6251,,
204,0.7841,0.7804,99.53,3.2775,2.6219,,
205,0.7823,0.7792,99.60,3.2701,2.6179,,
206,0.7819,0.7813,99.93,3.2685,2.6257,,
207,0.7830,0.7801,99.63,3.2729,2.6217,,
208,0.7826,0.7821,99.94,3.2712,2.6285,,
209,0.7833,0.7803,99.61,3.2743,2.6226,,
210,0.7819,0.7808,99.85,3.2684,2.6244,,
211,0.7826,0.7816,99.87,3.2713,2.6268,,
212,0.7847,0.7998,101.93,3.2799,2.6907,,
213,0.8110,0.8020,98.88,3.3901,2.6930,,
214,0.8078,0.7939,98.28,3.3756,2.6669,,
215,0.7995,0.7871,98.45,3.3412,2.6437,,
216,0.7924,0.7820,98.69,3.3118,2.6261,,
217,1.0914,1.4762,135.26,4.4406,5.5831,,
218,0.9995,0.6567,65.70,4.1793,2.2195,,
219,0.7745,0.7060,91.16,3.2395,2.3654,,
220,0.7445,0.7129,95.75,3.1141,2.3844,,
221,0.7338,0.7138,97.27,3.0693,2.3860,,
222,0.7279,0.7120,97.81,3.0447,2.3800,,
223,0.7234,0.7102,98.17,3.0257,2.3737,,
224,0.7196,0.7084,98.46,3.0096,2.3681,,
225,0.7165,0.7068,98.64,2.9969,2.3627,,
226,0.7139,0.7058,98.87,2.9859,2.3594,,
227,0.7121,0.7040,98.87,2.9784,2.3535,,
228,0.7099,0.7039,99.15,2.9693,2.3530,,
229,0.7088,0.7016,98.98,2.9649,2.3457,,
230,0.7069,0.7012,99.19,2.9566,2.3444,,
231,0.7056,0.7006,99.29,2.9514,2.3425,,
232,0.7047,0.7005,99.40,2.9474,2.3423,,
233,0.7041,0.7004,99.47,2.9449,2.3421,,
234,0.7037,0.6998,99.45,2.9434,2.3406,,
235,0.7030,0.7000,99.57,2.9406,2.3415,,
236,0.7026,0.6992,99.52,2.9388,2.3389,,
237,0.7019,0.6979,99.43,2.9359,2.3349,,
238,0.7007,0.6987,99.72,2.9309,2.3376,,
239,0.7006,0.6972,99.50,2.9305,2.3323,,
240,0.6996,0.6961,99.51,2.9260,2.3292,,
241,0.6986,0.6971,99.79,2.9220,2.3324,,
242,0.6989,0.6967,99.69,2.9230,2.3311,,
243,0.6983,0.6957,99.64,2.9206,2.3279,,
244,0.6976,0.6958,99.75,2.9176,2.3282,,
245,0.6974,0.6961,99.82,2.9167,2.3289,,
246,0.6974,0.6953,99.70,2.9168,2.3266,,
247,0.6969,0.6952,99.76,2.9150,2.3263,,
248,0.9211,1.4224,154.42,3.7661,5.3698,,
249,0.9369,0.5919,63.17,3.9203,1.9888,,
250,0.7200,0.6411,89.04,3.0129,2.1391,,
251,0.6897,0.6504,94.31,2.8857,2.1673,,
252,0.6792,0.6530,96.15,2.8417,2.1755,,
253,0.6731,0.6534,97.06,2.8166,2.1770,,
254,0.6685,0.6530,97.68,2.7973,2.1758,,
255,0.6653,0.6526,98.09,2.7836,2.1746,,
256,0.6626,0.6511,98.27,2.7726,2.1701,,
257,0.6600,0.6507,98.59,2.7617,2.1688,,
258,0.6581,0.6497,98.72,2.7538,2.1656,,
259,0.6562,0.6491,98.92,2.7458,2.1638,,
260,0.6548,0.6488,99.09,2.7398,2.1630,,
261,0.6538,0.6487,99.22,2.7357,2.1628,,
262,0.6530,0.6489,99.37,2.7322,2.1635,,
263,0.6524,0.6466,99.11,2.7298,2.1562,,
264,0.6503,0.6454,99.25,2.7208,2.1521,,
265,0.6490,0.6451,99.41,2.7154,2.1514,,
266,0.6482,0.6449,99.50,2.7120,2.1509,,
267,0.6478,0.6448,99.55,2.7103,2.1508,,
268,0.6475,0.6448,99.58,2.7092,2.1510,,
269,0.6471,0.6447,99.63,2.7076,2.1506,,
270,0.6467,0.6451,99.76,2.7057,2.1519,,
271,0.6466,0.6442,99.63,2.7054,2.1489,,
272,0.6460,0.6441,99.71,2.7027,2.1487,,
273,0.6457,0.6438,99.71,2.7017,2.1477,,
274,0.6452,0.6430,99.65,2.6997,2.1450,,
275,0.6446,0.6422,99.64,2.6969,2.1426,,
276,0.6439,0.6429,99.85,2.6940,2.1447,,
277,0.6441,0.6419,99.66,2.6948,2.1414,,
278,0.6434,0.6422,99.80,2.6921,2.1423,,
279,0.8272,1.4033,169.65,3.3899,5.2857,,
280,0.9118,0.5479,60.09,3.8172,1.8363,,
281,0.6878,0.5985,87.02,2.8786,1.9918,,
282,0.6539,0.6091,93.15,2.7367,2.0251,,
283,0.6420,0.6126,95.42,2.6869,2.0363,,
284,0.6352,0.6123,96.38,2.6586,2.0352,,
285,0.6295,0.6126,97.31,2.6347,2.0364,,
286,0.6257,0.6110,97.64,2.6189,2.0311,,
287,0.6220,0.6094,97.98,2.6032,2.0257,,
288,0.6186,0.6081,98.30,2.5890,2.0213,,
289,0.6159,0.6070,98.55,2.5778,2.0177,,
290,0.6137,0.6065,98.83,2.5685,2.0159,,
291,0.6121,0.6052,98.87,2.5616,2.0116,,
292,0.6102,0.6043,99.02,2.5539,2.0088,,
293,0.6088,0.6036,99.15,2.5479,2.0079,,
294,0.6076,0.6026,99.18,2.5428,2.0035,,
295,0.6062,0.6027,99.41,2.5372,2.0037,,
296,0.6057,0.6025,99.46,2.5351,2.0033,,
297,0.6051,0.6020,99.50,2.5324,2.0021,,
298,0.6044,0.6017,99.55,2.5296,2.0007,,
299,0.6037,0.6007,99.52,2.5265,1.9976,,
300,0.6028,0.6000,99.55,2.5227,1.9954,,
301,0.6021,0.6001,99.66,2.5201,1.9955,,
302,0.6018,0.5997,99.66,2.5185,1.9942,,
303,0.6015,0.5999,99.75,2.5172,1.9949,,
304,0.6014,0.5996,99.70,2.5169,1.9937,,
305,0.6010,0.5990,99.65,2.5154,1.9918,,
306,0.6005,0.5979,99.58,2.5130,1.9883,,
307,0.5996,0.5980,99.74,2.5092,1.9885,,
308,0.5994,0.5972,99.63,2.5086,1.9861,,
309,0.5988,0.5976,99.80,2.5059,1.9873,,
310,0.7573,0.7721,101.96,3.1096,3.0172,,
